economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
AUT,,,,,,,,,,,14.3153988801848,14.3930114246765,14.2445709952115,14.6867464368584,15.348540291242,16.7899777326513,17.1817693745386,17.0109076954887,17.6562142158354,17.5220942244756,17.5341440555041,17.9647048904059,18.3466781011049,18.3463214751647,18.3887310915946,18.5778439047332,18.7854382881422,18.7520822565685,18.5135052492305,18.1859860514548,17.9756738660758,18.1577955514132,18.4899116879537,19.3004158667799,19.4443661360991,19.5896579303121,19.5657433008979,19.6007911245516,19.5530546720414,19.8436668661919,19.2197165554154,18.9761681528468,18.8386965201083,18.979639912386,18.8913590714454,19.3462734216739,19.2582902718553,18.7447920696102,19.2721309580265,20.6842134754264,20.4925476679965,19.89656808887,19.8606923693557,19.9159427520344,19.8028420386289,19.7616905815254,19.6511011570073,19.4892640109278,19.3393825159642,19.460482648763,21.1212463617302,21.78489059682,20.5887853618654
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5989085948158,19.4236526946108,17.7195493869422,30.140127388535,23.5111822791567,12.7940762958103,12.017858449828,12.6112148940886,15.1572400162762,15.6128314481736,15.1501663805345,13.6466250282188,12.4041237113402,12.3892814664521,12.9000492368291,10.4220403274107,8.53986407912003,9.66026692054089,8.49511176664042,11.1234077215848,10.8814317673378,10.1276832686917,10.5259600648111,10.2832491148465,10.8858730371216,12.4082383229128,12.8320634437288,11.3414124411056,10.4664635668981,11.1234709302752,16.2189420775689,13.867442319577,10.9271156981688
BDI,2.67857156523324,2.58620699847121,3.27868843244904,4.51127823425373,5.36912735204978,6.94510704275747,7.0991406703324,7.26555990000641,7.79975046787274,8.28576578741813,9.77160049154625,10.5845767208921,12.9235855784102,11.5827896415946,12.5827985067765,11.5459675984158,8.70704009763262,11.150975482059,13.7945349897943,12.8489010247825,9.21771444173027,9.06962398325043,10.6590645904156,8.31528542192374,7.81917814015283,7.83191993717172,9.83957842872865,9.69214042516666,10.7064831144218,10.1842788681871,10.8160802153932,10.768393283561,19.2375890021016,20.4914437774664,17.4139248520428,19.0502875515238,19.9923983276321,16.7736289381564,17.1414292853573,18.1598594642073,14.8566983263618,15.5330738165848,14.7329868449071,17.46133527299,19.2272662954525,14.099999668941,15.2,19.0000006815559,20.200001151146,19.7000012320278,21.9000002798828,22.900000496536,23.2998242944295,24.700169522601,25.9000061887709,22.4223834424569,23.4731936302723,25.086288811734,26.2102674584933,27.2447699999999,31.3443000000001,30.77247,30.9754527020549
BEL,,,,,,,,,,,16.7887275608696,17.7720899474146,18.2877143675456,18.5683127538028,18.9309264818353,21.1481975967957,21.3052544709293,21.836019047853,22.6314880643124,22.9659052795549,22.8707603348627,24.1030980623394,23.7618826871375,23.4186755594308,23.3482159754814,22.8336885831274,22.687508927644,22.5216395173423,21.1432035444767,20.4558333384452,20.2172850732894,20.8629258399334,20.9609310665367,21.2946426523691,21.1019338255165,21.2989651245599,21.7183862211024,21.1513979156766,21.0949180608347,21.2820398534755,21.0401971476314,21.3136063380204,22.1388815392458,22.4843723439742,22.1972126513166,22.093997631255,21.9387885339603,21.6158948183584,22.6661446948071,24.191913477768,23.7326860900242,24.0494265732331,24.3033528607648,24.3127672571778,24.2338958514732,23.6150874463105,23.2620366238976,23.0324630867401,23.1414661163506,23.0407528095193,24.404874945659,23.7124396766796,23.796508690731
BEN,10.154439717883,10.1673019035612,10.8489920771159,10.6261734579732,9.13581731876019,8.8482979280316,8.22738368372008,9.21188945447672,8.99412488758258,8.92540812571392,9.73846488382712,10.0472007324133,10.1436000883903,9.96264266073984,8.61371534699504,9.25121675574385,8.59274336743383,8.30837051951837,8.31587542724965,8.02498182225647,8.64261205374082,9.15807413211855,10.4896780742547,14.4226166792559,13.6294383114451,15.3682469537862,15.2582730266091,15.5464031572569,13.1901490234151,11.0843237643575,17.5694732161861,16.1816148887447,15.7527458695796,15.2546525626767,15.6329615151681,14.4476469440652,13.5120955507393,13.2129732588972,13.1155135588307,8.14593689055722,8.08059450959748,8.08339019705914,7.78633266097782,8.82881759988085,8.80946780461131,8.9910736442313,9.6667347066507,9.56848525645387,10.2335884526485,11.2886208595087,11.2118694926743,11.0235419657792,11.1283007356691,11.0422342334299,10.1801970840633,11.4113801450627,10.2808187596981,10.4789842865023,10.4105053943384,10.3420632400446,11.3993621464496,10.075964534303,10.0578392538627
BFA,7.42652061799036,7.65368707769187,7.54839971644615,7.38639910682372,6.98224993873381,5.05104759671214,4.59710973929227,4.31956607499053,6.0585138769122,5.91215080696169,6.94499680740708,7.1359711958396,7.26553990634849,8.08218713174988,8.26565505828738,12.8924457015457,10.1323687257735,10.032371953129,10.0480543566992,10.7946973694178,9.22918835244672,9.25421566231758,13.7860096604093,14.3770613922595,13.0435475018617,17.3024484427189,18.9923328409924,19.9395756897688,20.0199480353779,20.1382242743815,21.0569952699417,21.6910996512529,21.7335283551021,21.3402148170525,26.0649175414308,25.1986855456088,24.389594090162,23.7332628818686,22.2973561174748,12.0583639805153,14.1091885003293,14.625601156611,14.5898515999372,13.5868608275023,14.2360467040752,13.7928275192666,15.1021200173216,16.6901098153908,14.6700928446474,15.2196246158513,14.457528015174,14.2866253805326,14.2545817669135,14.6555862871714,15.474778613438,15.9440802560458,16.5070965979117,17.7393231525305,18.419409475168,20.4999424088351,19.7841401539344,20.2862361293659,19.870508196288
BGD,6.19158078945777,6.35294149088275,6.31308914411734,6.9415589919198,8.3605179907656,9.0581969154006,12.9510654302968,11.2048757860753,11.9774314526507,13.2543821183939,13.3772410923478,,,3.93877814067019,4.64272057478671,3.16378396543982,4.06794100708768,5.08923904100949,4.87557087798912,6.28376859918816,6.14104064791632,4.39132011605416,4.43233517127319,4.3091271083747,4.34462740554859,4.03063329644585,4.20118152968138,4.14317368059806,4.16537536251982,4.15394423380197,4.05325016763114,4.13633163394744,4.45122187024089,4.95383869591304,4.88315945317799,4.62988612520877,4.72749921814699,4.90298208959861,5.12567978040796,5.03961520253427,4.97312138319291,4.84565983723317,5.02264856478482,5.12829861719188,5.17438311061483,5.18022516467283,5.44007855680545,5.35945621469055,5.17827687820651,5.09374516609514,5.07532583559895,5.0974466876342,5.03934251857421,5.11613164192944,5.33752075651661,5.40424038147983,5.86529831496558,6.02233190077749,5.95916760828597,6.23818877148586,5.97120729189186,5.88274868783073,5.69899955596024
BGR,,,,,,,,,,,,,,,,,,,,,13.6985770229925,14.7350636278668,15.0105125288664,15.4960992265534,15.1302931081845,16.5753958392774,16.9478674637896,16.8729281465483,16.3238588502833,16.5346949913086,18.1865848876199,19.033161385409,20.3361553784861,18.8558046169287,17.1893074581431,15.3481641512703,13.8490054815903,12.1431675540765,18.3452571005378,19.6065030074748,19.7851119720333,19.368455899514,19.178153843914,20.1105898204731,19.3619098932735,18.1535666491695,18.1469405300315,16.6883257645924,17.1498257945905,16.7393574315573,16.5024385412597,15.849987567536,15.790962526113,17.0826070059115,16.833076863621,16.089141458635,15.5888636114576,15.5845769435159,16.421363247007,16.7117929130868,19.402652905359,18.9502795223267,18.3224888995211
BHR,,,,,,,,,,,,,,,,,,,,,13.0299628702185,14.4642994094639,17.0192588269624,18.1216177727143,20.5788287368063,22.7805695142379,27.2196479916354,24.3766680552508,24.3660656562029,24.5542713567839,24.2140342052314,23.3911390217203,23.8580385132109,22.272797013246,21.0184378991861,20.8465954736108,20.2371102400344,19.4822594779768,20.7646982925466,20.815425620222,16.2088242630552,17.2604850298514,17.6690249392874,17.3159819698232,15.43849075531,14.0567332418424,12.7112200856881,12.0997787155712,11.2930187332554,13.9782278252058,12.9275490034846,13.8359519408503,15.4423123163123,15.552226265321,16.1252626698891,17.6852499006427,17.1111395297991,16.6264561625534,16.2860745454655,15.6899359524859,17.1369290618291,15.8089597320434,
BHS,,,,,,,,,,,,,,,,,,15.3295932678822,15.4252763094666,12.6162473577604,12.506552834569,13.8310550297932,13.2357599949313,13.7349953831948,12.9342021459017,12.4574487205347,12.1375126390293,12.0265295514565,,13.5620509470934,12.8591282375237,14.1612774656398,13.7430041814088,12.8716041397154,14.8106781221233,13.8874307378244,14.3216957605985,10.0357528630716,9.52406039905052,9.18157126552115,9.2540429172646,9.64674680776116,9.52916060514618,9.72143461903994,10.0239749361975,9.75173339297696,10.238756792643,10.0976235456766,11.1846855405662,12.6728618427643,12.5171359065588,13.7590673703757,13.0881310398866,12.930594968977,12.2025002733535,11.5284119627513,10.8367089900262,11.8953768311095,11.4623506353923,12.5203887063797,15.5813667397946,14.1113501509421,13.8190643075349
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6018002585722,23.4054327322173,23.4374019748903,22.7986171379887,21.9062313308463,21.6563079324931,20.9748145091411,21.0804736907477,22.0814076557873,23.4615267610885,23.1270966380596,23.0899893417252,23.3654292280655,22.8257774801621,22.8610441376188,21.9698075332043,20.9094500085164,20.1653336206043,19.6573572916203,19.3589700275359,20.7503460226245,19.4316178344027,18.7082461825984
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7875288683603,22.2222222222222,15.2173913043478,18.4771573604061,20.5136851570842,20.5497392980404,20.5516083799436,20.3219474961154,19.8646749107398,19.5036522690862,19.4785302940726,21.5527682668344,21.0292941775096,21.3793046864744,20.6031789213431,20.785312392899,19.2073624585262,18.5231764837859,16.5249771170222,16.1000708699266,16.0213954939935,13.4483555468763,13.5666972902762,13.4298113058447,13.7542039489197,14.9215882549216,15.6536667052839,15.6532511253168,15.7398626553303,16.8430662351928,16.9648880250599,16.8160154682014,17.1005465737247
BLZ,,,,,,,,,,,,,,,,,,,,,15.4587849907671,16.5006679720515,18.777804970415,18.8332528649342,17.8452779851026,19.024381766188,18.467341486374,16.0928334558407,14.9431231899511,13.7020563631804,8.14731214849658,8.35551888573493,13.0952964086853,12.7554913169581,13.3773699551179,13.5223810948212,13.8413876314586,15.2043826828198,15.4306808534729,15.080702902989,14.3795867138817,15.076772023489,15.4747348828364,15.5554127759688,15.0417874104023,14.6131647363032,13.7360146769061,14.4119682486013,14.8128212048677,16.2183043245068,16.430546373515,16.3993272242624,16.1594175852528,16.567054588636,16.3635746428247,17.1693649477371,18.1108382609589,18.8163105925827,19.4051124649418,18.7747694115853,17.2785180344648,16.656271643632,15.8945901693663
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8163449807869,14.0446443521471,14.1060125540357,13.6558354506418,12.8349164357651,12.5031463477346,12.1305912496553,11.6269288561301,11.7283240729939,12.2567291689258,12.7251821400066,12.6066337411606,12.3363371322555
BOL,8.6403215003349,9.23645320197044,9.23596771165759,9.64086471408647,9.50023209036051,11.5181058495822,11.622641509434,10.8809444258826,10.5769230769231,10.4491126403477,9.70038073166694,10.3334357713583,10.1614832535885,9.85280151946819,9.39418455241993,10.4804854732117,10.8456655752099,11.7279075889193,12.6871625754634,15.067065735506,13.8415518653943,13.2906743377358,11.8016427975822,9.02830394168307,13.3095990804782,10.5612995770292,9.44747489673778,11.1257075296038,11.3865159779039,11.9406592118685,11.7554815839229,12.0747308599222,12.8705016251926,13.3704366684004,13.5679063950211,13.5726201506434,13.3272666220148,13.9035290001569,14.2188708067528,14.7978925435747,14.5392995149189,15.7241302193543,15.9678902393715,16.5211414224599,16.2585361956677,15.9745575009633,14.3542326624169,14.0586525031966,13.2773746897522,14.7087648409415,13.831218450538,13.7771015326236,13.4396269650146,13.8415143362661,14.7070466402409,17.4952582258727,17.4582521973373,17.0216400266816,17.525644686723,18.143092001616,19.7386344530618,19.3369845659035,19.0899160383982
BRA,12.5596955904002,12.9162169083743,12.0964094901385,12.7368474442453,11.851968516625,10.5456847151613,10.6690658167339,11.3543843508467,11.1149937580771,10.8982828674882,11.3246354178855,11.0981152345092,10.7720913280882,9.90642975311758,9.32983875373664,10.1851800259585,10.4870945451757,9.42630744535613,9.68052852137433,9.90043859063946,9.1063174474986,9.51874160060973,10.3881016194293,10.3559481952446,9.19464987548048,10.4338900725915,11.1592046131695,12.6374579272704,13.4929526900474,15.4991373147458,19.2909200915421,17.8998440765684,17.0630155947621,17.6640230381336,17.8657165129222,20.9279248587451,19.7508265161778,19.5352947982055,20.0705315848897,19.782690769704,18.7678457444131,19.3432950140464,19.8096623456372,19.0774784933715,18.4675839197143,18.8900014285433,19.0389169325496,18.9429876075416,18.8393928790004,19.6506384012198,19.0168578484948,18.6692569318675,18.5301032595602,18.8924790049702,19.1535387067519,19.7768199520763,20.3792974286877,20.1619046966819,19.8950877802146,19.9835812831035,20.1351530140164,18.6178160224491,18.033738790197
BRB,,,,,,,,,,,,,,,,16.5859428561582,17.3287508915498,17.3185971283121,17.0565145254336,15.5974189720389,12.6817288801572,14.3328871039714,14.0538231524989,13.9219629927595,14.3078626799557,16.0952380952381,15.0594282043045,14.5128354725788,14.73669775096,15.2193308550186,14.1932295527551,13.3513779527559,12.1819110884006,12.4939759036145,12.1215622833372,12.332361516035,13.2961716449306,12.9930348258706,13.4239322273209,12.9964628600303,13.5397940840007,13.7714846947127,14.6386608723644,19.3394609752298,17.6701988677602,16.6972116769211,14.5075815955139,13.0145485665383,13.321143095972,15.8571268614937,15.4221334539797,15.4722532428486,15.2020546831822,14.7634749389079,14.3140878579319,13.5815378115758,13.3916957446369,12.1206658253711,11.7616554963064,10.8722922244481,12.1159365240145,12.7602526863155,12.0185264783024
BRN,,,,,,,,,,,,,,,17.2769665927681,17.2899220329194,9.27163618782173,7.49976341440333,4.25801775684001,3.85429138442866,8.30048514251061,4.3796411729633,5.52298504191551,9.45358756262386,,,,,,24.3020327388054,22.0184923993105,22.5801407349492,23.3308877476156,25.8365993367501,27.0222649367291,26.7511177347243,25.2183557465687,25.1652196449397,29.8672566371681,28.6135693215339,25.8143719339021,29.3985595498529,27.1697936773804,24.0677854177388,22.0528860999868,18.408700104511,18.0617586059322,22.6204729528401,17.140980198942,23.2876185839744,22.1508828250401,18.7272025061151,18.4393897092207,20.1643182119352,21.4184161450544,25.0616762290471,26.2227178054356,26.4772123933436,24.1416765478916,25.0403962194955,25.4309862541788,22.4670591025892,20.1242381984462
BTN,,,,,,,,,,,,,,,,,,,,,24.123796848131,20.2677444819304,20.872599831538,21.5928104078005,24.8465943841008,25.0339344288357,19.5681405393964,14.6272918577472,13.1528574228307,20.4585598416635,16.9548905344987,14.1833026168733,15.0199330508006,17.1028068659331,15.5458050931208,18.8221086207646,21.6999411499903,22.7815825177549,20.2659871638301,19.038518076931,22.7044036921197,22.2319211661753,21.2904642952202,21.0388220410589,21.4978822630346,22.511058772787,21.8051389698248,19.5719394799988,19.4184465134807,21.9009729858447,20.4679361687669,20.5548640568032,19.6363028891349,17.7571990426625,17.35050125803,18.2562043383666,17.2750438209532,18.1851014838397,18.4949248890086,19.1177464429771,22.3153595189718,22.6722281148528,
BWA,18.135720574745,19.4435112458697,20.9110968640238,22.2442433184324,23.510119029672,25.609756097561,26.2872628726287,25.8029227458115,23.6842105263158,20.7020702070207,18.7817258883249,16.3546255506608,13.3359559402046,14.5175568014163,17.2156768453955,18.9796306872263,21.3910355486862,23.1558185404339,21.1269045914715,19.4103561807842,21.3389121338912,24.8080133555927,26.0513851011913,25.8467161799588,25.01163837249,22.982625710177,23.96728954106,26.8964994696166,23.8895322387195,22.6641774830813,24.1366353059618,24.2285857667095,26.3577544324924,27.9966727197243,28.6236510240848,30.0544448002928,26.1937709821346,28.1823241196434,30.0691562932227,27.4109473451781,24.9027290058887,23.4866322167786,22.3791259879126,22.0087160576493,20.5323439366629,19.4007450572658,27.7200348583399,27.9076686070736,30.4958502561281,35.9377585821692,30.7752600268408,28.3311194802288,31.8383799827492,31.0633222428851,29.2537913997764,31.6393989708793,28.4757218286483,28.8780859521463,29.0985189512999,31.6419395023481,36.1430509538337,31.552596747727,27.65536978564
CAF,19.2727184145465,19.2053010065348,20.3278663198068,19.5583591278648,22.4137898186687,22.2222195121951,21.39175,22.0843622828784,20.0105965584134,20.0479581961591,20.0881471956782,18.9288884777415,18.9503350949702,19.5222723644682,19.9309088309617,17.1284111267617,13.5432088928683,12.3562940971371,14.0803486708568,15.6304696493159,15.1425190089695,14.9894076270064,15.9007668165096,16.8924061576793,14.2447067139079,15.1284921952412,15.5874096545194,17.4631935324789,16.1320033550278,15.800972476971,15.3797912072504,16.6300792398737,17.1265884090623,15.2500807781211,16.4836978602384,14.9132906447296,12.9066062055561,11.854070023441,11.4603028301176,16.9832365235768,16.284531790337,14.0101371633625,13.8293755305992,10.357838835437,10.4326000330075,8.70797373464736,6.85806710112307,6.36686672722155,7.05239241446022,7.18439002916867,7.63618270005339,7.14770875692839,10.9198859827975,17.3592051258419,15.5309338184523,14.776798538189,14.408108617903,14.0670343149476,7.70001000295874,8.0446400022651,9.67704000219521,9.14075000000002,8.33528000000002
CAN,,16.4553286378929,16.3655820274212,16.4191630630327,16.4084964974058,16.3596779472724,17.1550422575225,18.4224958033385,19.1511520921517,19.7043057824436,20.9881295150224,21.1149845224718,21.0634347533532,20.4010517120067,20.7555756301704,22.3317832261733,22.1715722102007,22.6790192058225,22.1431998295265,21.4169658821367,21.5109616586718,21.4020056575397,22.949345794874,22.6673090981591,22.0352997709887,22.0544090619107,22.0929305204793,21.5055298640517,21.1214336075955,21.3687444068382,22.6182277236122,24.0167404559594,24.44462693963,23.8860993498314,22.6779482102903,21.6585439761622,20.7605188908557,19.8533457566752,19.8366043300703,19.3207377194749,19.1064161806335,19.5093203790186,19.7787192119877,19.8962017689692,19.4174844503805,19.0759109803014,19.2487641773811,19.2505356033619,19.7194394824506,21.9645855050549,21.4754574603582,21.1458668604215,21.0578451788387,20.7043347111761,20.266560128167,20.8778251262785,21.0480401948524,20.7033313853187,20.6814326967462,20.6634960880685,22.8064593939125,21.8606178310803,20.9946651477281
CHE,,,,,,,,,,,,,,,,,,,,,9.43580275108978,9.59440121459466,9.83680038251071,10.1165877018089,9.91598891992841,10.0235267386124,10.1637283771999,10.1127512832114,10.3017075138891,10.725963142648,10.8749824420454,11.4594732113828,11.8286569176593,11.8399273282628,11.8569071032063,11.8081944965479,11.8958289485891,11.6300815887786,11.33429094214,11.3520008625821,11.1598909444037,11.1637674855913,11.542897557961,11.7348935607647,11.5149095992384,11.2482518062864,10.7427651651168,10.4244100328755,10.5706989010013,11.3846246387676,11.1836121803075,11.2755715577404,11.3149273831192,11.4125791729509,11.4816364729739,11.5375670168373,11.5149617444437,11.5093914980384,11.2649207517523,11.3549037641088,12.1264545910032,11.9438225834784,11.3731561956095
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
