country,year,scenario_type,plastic_type,value
World,2032,Global ambition policy,Microplastics,3314000.0
World,2032,Global ambition policy,Total,18847000.0
World,2032,Regional action policy,Macroplastics,19999000.0
World,2032,Regional action policy,Microplastics,3466000.0
World,2032,Regional action policy,Total,23465000.0
World,2033,Baseline,Macroplastics,24119000.0
World,2033,Baseline,Microplastics,3609000.0
World,2033,Baseline,Total,27728000.0
World,2033,Global ambition policy,Macroplastics,15262000.0
World,2033,Global ambition policy,Microplastics,3371000.0
World,2033,Global ambition policy,Total,18634000.0
World,2033,Regional action policy,Macroplastics,20056000.0
World,2033,Regional action policy,Microplastics,3533000.0
World,2033,Regional action policy,Total,23588000.0
World,2034,Baseline,Macroplastics,24547000.0
World,2034,Baseline,Microplastics,3683000.0
World,2034,Baseline,Total,28230000.0
World,2034,Global ambition policy,Macroplastics,15005000.0
World,2034,Global ambition policy,Microplastics,3430000.0
World,2034,Global ambition policy,Total,18436000.0
World,2034,Regional action policy,Macroplastics,20137000.0
World,2034,Regional action policy,Microplastics,3601000.0
World,2034,Regional action policy,Total,23737000.0
World,2035,Baseline,Macroplastics,24985000.0
World,2035,Baseline,Microplastics,3757000.0
World,2035,Baseline,Total,28742000.0
World,2035,Global ambition policy,Macroplastics,14757000.0
World,2035,Global ambition policy,Microplastics,3496000.0
World,2035,Global ambition policy,Total,18253000.0
World,2035,Regional action policy,Macroplastics,20230000.0
World,2035,Regional action policy,Microplastics,3674000.0
World,2035,Regional action policy,Total,23904000.0
World,2036,Baseline,Macroplastics,25432000.0
World,2036,Baseline,Microplastics,3830000.0
World,2036,Baseline,Total,29263000.0
World,2036,Global ambition policy,Macroplastics,14509000.0
World,2036,Global ambition policy,Microplastics,3566000.0
World,2036,Global ambition policy,Total,18075000.0
World,2036,Regional action policy,Macroplastics,20318000.0
World,2036,Regional action policy,Microplastics,3748000.0
World,2036,Regional action policy,Total,24066000.0
World,2037,Baseline,Macroplastics,25886000.0
World,2037,Baseline,Microplastics,3905000.0
World,2037,Baseline,Total,29791000.0
World,2037,Global ambition policy,Macroplastics,14251000.0
World,2037,Global ambition policy,Microplastics,3636000.0
World,2037,Global ambition policy,Total,17886000.0
World,2037,Regional action policy,Macroplastics,20382000.0
World,2037,Regional action policy,Microplastics,3820000.0
World,2037,Regional action policy,Total,24202000.0
World,2038,Baseline,Macroplastics,26371000.0
World,2038,Baseline,Microplastics,3979000.0
World,2038,Baseline,Total,30350000.0
World,2038,Global ambition policy,Macroplastics,13994000.0
World,2038,Global ambition policy,Microplastics,3704000.0
World,2038,Global ambition policy,Total,17698000.0
World,2038,Regional action policy,Macroplastics,20449000.0
World,2038,Regional action policy,Microplastics,3890000.0
World,2038,Regional action policy,Total,24339000.0
World,2039,Baseline,Macroplastics,26861000.0
World,2039,Baseline,Microplastics,4054000.0
World,2039,Baseline,Total,30915000.0
World,2039,Global ambition policy,Macroplastics,13733000.0
World,2039,Global ambition policy,Microplastics,3770000.0
World,2039,Global ambition policy,Total,17503000.0
