country,date,life_expectancy,fertility_rate,GDP,GDP_per_capita,GDP_PPP,GNI,GNI_per_capita,GNI_PPP,political_stability,interest_rates,income_tax,education_pct_government_expenditure,government_effectiveness,labour_participation,migration,rural_living_pct_popoluation,health_pct_government_expenditure,government_expenditure_pct_GDP,R&D_expenditure_pct_GDP,current_account_pct_GDP,inflation,forest_area,global_carbon_budget,environmental_occupational_risks,greenhouse_gas_emissions,renewable_electricity_capacity,trade_transport_quality,literacy_rate,alcohol_use_disorders,income_inequality,wealth_inequality,child_mortality,body_mass_index,hours_to_file_taxes,drug_use,mental_health,pedestrian_road_injuries,pollution,bullying_victimisation,forest_depletion_pct_GNI,unsafe_water,unemployment
United Kingdom,2019 QR:0,0.7808907192741228,0.3343349292573592,0.26347357031673235,0.7145444233565854,0.2963225615060603,0.2595231511958258,0.8091220047273247,0.28942785361558565,0.586377787944226,0.21915872798725644,0.47300477902700955,0.6721625895377414,0.8741588183741147,0.5624648523714892,0.4398796813165249,0.25861403801120886,0.9267025493824557,0.5768432771778225,0.6280121979507307,0.46067251914509555,0.42870244110525935,0.3037750013973528,0.5808966405598603,0.32870503636521375,0.48066494608097976,0.4935650289146558,0.898799130730092,0.7200380581666636,0.9635000392176423,0.27346752207786373,0.2954477420933488,0.3028757070761199,0.4415529639346829,0.3342330731430536,0.3516035814936451,0.7908936859264157,0.2231219491280254,0.28829031595237,0.401706199657192,0.40592395033084006,0.3723813254012214,0.41043109120243315
United Kingdom,2019 QR:1,0.7812500881702862,0.3349383741246008,0.2631505773507059,0.7124718459454797,0.2967511731680963,0.2591183188383721,0.8076013858354631,0.2897521399080638,0.5856981755237713,0.21637438264491493,0.4731625621849287,0.6745434973660593,0.8730658898241206,0.5631130530104942,0.44025607972821845,0.2586062678934752,0.9277586869066843,0.5770669421758654,0.6279570339279772,0.46017618278693107,0.42961818095499815,0.3039869783734517,0.5794491762131404,0.328509785725442,0.4799806107416078,0.4943553559215017,0.8982358068586382,0.7201937807798201,0.9650966541414459,0.2724139286823597,0.29639506381599734,0.3030970697479827,0.44000825920043773,0.3352536492652014,0.348657717705958,0.7914708273103521,0.222800026549137,0.28629566674842266,0.40130684983525056,0.4059239963217942,0.37263018328288,0.41077103159722617
United Kingdom,2019 QR:2,0.7816094570664491,0.3355418189918433,0.262827584384679,0.7103992685343741,0.2971797848301323,0.25871348648091885,0.8060807669436034,0.29007642620054197,0.5850185631033167,0.21359003730256987,0.4733203453428476,0.6769244051943808,0.8719729612741247,0.5637612536494983,0.44063247813991246,0.2585984977757415,0.9288148244309111,0.5772906071739086,0.6279018699052237,0.4596798464287666,0.43053392080473696,0.30419895534955055,0.5780017118664187,0.32831453508567,0.47929627540223585,0.4951456829283476,0.8976724829871854,0.7203495033929767,0.9666932690652477,0.27136033528685566,0.2973423855386459,0.3033184324198457,0.4384635544661908,0.3362742253873474,0.34571185391827086,0.7920479686942894,0.22247810397024814,0.28430101754447534,0.4009075000133091,0.4059240423127484,0.3728790411645386,0.4111109719920196
United Kingdom,2019 QR:3,0.7819688259626125,0.33614526385908494,0.26250459141865257,0.708326691123272,0.2976083964921683,0.2583086541234656,0.8045601480517437,0.2904007124930197,0.584338950682862,0.21080569196022836,0.47347812850076676,0.6793053130226987,0.8708800327241288,0.5644094542885032,0.4410088765516065,0.25859072765800784,0.929870961955138,0.5775142721719517,0.6278467058824702,0.4591835100706021,0.43144966065447665,0.30441093232564964,0.5765542475196987,0.328119284445898,0.4786119400628639,0.4959360099351935,0.8971091591157325,0.7205052260061332,0.9682898839890512,0.2703067418913516,0.29828970726129445,0.3035397950917085,0.4369188497319456,0.3372948015094952,0.34276599013058373,0.7926251100782267,0.22215618139135973,0.282306368340528,0.4005081501913681,0.4059240883037026,0.37312789904619725,0.41145091238681264
United Kingdom,2020 QR:0,0.7823281948587759,0.33674870872632745,0.2621815984526257,0.7062541137121663,0.2980370081542043,0.2579038217660119,0.803039529159884,0.29072499878549785,0.5836593382624082,0.20802134661788685,0.4736359116586857,0.6816862208510166,0.8697871041741347,0.5650576549275081,0.44138527496330004,0.25858295754027416,0.9309270994793648,0.5777379371699949,0.6277915418597166,0.4586871737124376,0.43236540050421546,0.3046229093017485,0.5751067831729788,0.3279240338061262,0.47792760472349194,0.4967263369420394,0.8965458352442788,0.7206609486192898,0.9698864989128531,0.26925314849584936,0.299237028983943,0.3037611577635715,0.43537414499770044,0.338315377631643,0.3398201263428966,0.7932022514621639,0.22183425881247087,0.28031171913657715,0.40010880036942664,0.40592413429465674,0.3733767569278559,0.4117908527816061
United Kingdom,2020 QR:1,0.7826875637549389,0.33735215359356907,0.2618586054865988,0.7041815363010606,0.2984656198162403,0.25749898940855864,0.8015189102680242,0.29104928507797556,0.5829797258419536,0.20523700127554534,0.4737936948166048,0.684067128679338,0.8686941756241389,0.5657058555665131,0.44176167337499406,0.2585751874225405,0.9319832370035916,0.577961602168038,0.6277363778369631,0.45819083735427224,0.43328114035395426,0.3048348862778474,0.5736593188262589,0.32772878316635423,0.4772432693841191,0.4975166639488853,0.8959825113728259,0.7208166712324463,0.9714831138366566,0.2681995551003453,0.30018435070659066,0.3039825204354345,0.43382944026345527,0.339335953753789,0.33687426255520947,0.7937793928461012,0.22151233623358246,0.27831706993262983,0.39970945054748563,0.4059241802856109,0.3736256148095145,0.4121307931763991
United Kingdom,2020 QR:2,0.7830469326511023,0.3379555984608116,0.26153561252057234,0.702108958889955,0.2988942314782763,0.2570941570511054,0.7999982913761627,0.2913735713704537,0.5823001134214989,0.20245265593320383,0.47395147797452397,0.686448036507656,0.8676012470741448,0.5663540562055172,0.44213807178668807,0.2585674173048068,0.9330393745278185,0.578185267166081,0.6276812138142096,0.45769450099610776,0.43419688020369307,0.30504686325394625,0.5722118544795389,0.32753353252658224,0.47655893404474714,0.4983069909557303,0.8954191875013731,0.7209723938456029,0.9730797287604585,0.2671459617048413,0.3011316724292392,0.3042038831072973,0.4322847355292101,0.3403565298759368,0.33392839876752234,0.7943565342300385,0.2211904136546936,0.2763224207286825,0.3993101007255442,0.4059242262765651,0.37387447269117313,0.41247073357119257
United Kingdom,2020 QR:3,0.7834063015472656,0.3385590433280532,0.26121261955454544,0.7000363814788528,0.2993228431403123,0.25668932469365213,0.798477672484303,0.2916978576629319,0.5816205010010451,0.19966831059085877,0.4741092611324429,0.6888289443359739,0.8665083185241489,0.5670022568445221,0.44251447019838164,0.25855964718707314,0.9340955120520453,0.5784089321641241,0.6276260497914562,0.45719816463794327,0.4351126200534319,0.30525884023004535,0.570764390132819,0.32733828188681025,0.4758745987053752,0.49909731796257617,0.8948558636299202,0.7211281164587594,0.974676343684262,0.26609236830933725,0.30207899415188777,0.3044252457791603,0.43074003079496315,0.3413771059980846,0.3309825349798352,0.7949336756139749,0.2208684910758052,0.27432777152473165,0.39891075090360273,0.40592427226751926,0.37412333057283176,0.41281067396598603
United Kingdom,2021 QR:0,0.7837656704434286,0.3391624881952957,0.260889626588519,0.6979638040677472,0.2997514548023483,0.25628449233619843,0.7969570535924433,0.2920221439554096,0.5809408885805905,0.19688396524851726,0.47426704429036204,0.6912098521642953,0.865415389974153,0.567650457483527,0.44289086861007565,0.2585518770693394,0.9351516495762722,0.5786325971621673,0.6275708857687027,0.4567018282797788,0.4360283599031707,0.3054708172061442,0.5693169257860973,0.3271430312470385,0.47519026336600323,0.49988764496942206,0.8942925397584665,0.721283839071916,0.9762729586080638,0.2650387749138332,0.3030263158745363,0.3046466084510231,0.429195326060718,0.34239768212023236,0.3280366711921481,0.7955108169979122,0.22054656849691634,0.2723331223207843,0.3985114010816617,0.4059243182584734,0.3743721884544904,0.41315061436077904
United Kingdom,2025,0.7895155727820407,0.34881760607116963,0.2557217391320914,0.6648025654900742,0.3066092413949244,0.24980717461694457,0.7726271513226823,0.2972107246350575,0.5700670898533202,0.15233443977104244,0.476791574817067,0.7293043774173995,0.8479285331742297,0.5780216677076027,0.4489132431971772,0.2584275551856006,0.9520498499639052,0.5822112371308572,0.6266882614046466,0.44876044654914526,0.45068019749899246,0.30886244882372704,0.5461574962385729,0.3240190210106877,0.4642408979360493,0.5125328770789546,0.8852793578152163,0.7237754008824212,1.0018187973889088,0.24818128058577393,0.3181834634369114,0.30818841120082974,0.4044800503127899,0.3587269000745881,0.280902850589154,0.8047450791409068,0.21539580723469776,0.24041873505761302,0.39212180393060114,0.4059250541137402,0.37835391456102885,0.4185896606774713
