economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
CAN,39239090176.0,41469849373.2046,45131300479.4114,48565203776.7579,53258992994.1579,58766438012.9371,65811554588.5602,70837307492.4793,77394821620.5446,85225027389.5083,92152090000.0,100582598000.0,112317864000.0,131777520000.0,157408306000.0,177419777000.0,204369810000.0,225807825000.0,250234837000.0,285694063000.0,321268761000.0,368358000000.0,388181000000.0,421316000000.0,461986000000.0,500027000000.0,526630000000.0,574336000000.0,626894000000.0,671579000000.0,695501000000.0,701773000000.0,718436000000.0,747037000000.0,791972000000.0,831621000000.0,859834000000.0,906895000000.0,940539000000.0,1007917000000.0,1106063000000.0,1144535000000.0,1193687000000.0,1254742000000.0,1335724000000.0,1421573000000.0,1496574000000.0,1577660000000.0,1657040000000.0,1571334000000.0,1666046000000.0,1774063000000.0,1827205000000.0,1902249000000.0,1994897000000.0,1990442000000.0,2025533000000.0,2140641000000.0,2235672000000.0,2313563000000.0,2209681000000.0,2509618000000.0,2785119000000.0
DEU,,,,,,,,,,,403898488000.0,448298200000.0,488766454000.0,544378101000.0,589181040000.0,617171675000.0,669131883000.0,712971558000.0,760462673000.0,825908565000.0,883200322000.0,924945460000.0,963498388000.0,1006128384000.0,1055109196000.0,1102611512000.0,1161661784000.0,1193023841000.0,1258167313000.0,1344827397000.0,1463577584000.0,1585800000000.0,1702060000000.0,1750890000000.0,1829550000000.0,1894610000000.0,1921380000000.0,1961150000000.0,2014420000000.0,2059480000000.0,2109090000000.0,2172540000000.0,2198120000000.0,2211570000000.0,2262520000000.0,2288310000000.0,2385080000000.0,2499550000000.0,2546490000000.0,2445730000000.0,2564400000000.0,2693560000000.0,2745310000000.0,2811350000000.0,2927430000000.0,3026180000000.0,3134740000000.0,3267160000000.0,3365450000000.0,3473260000000.0,3405430000000.0,3601750000000.0,3867050000000.0
FRA,46834000000.0,50775000000.0,56906000000.0,63794000000.0,70755000000.0,76422000000.0,82826000000.0,89545000000.0,97683000000.0,112366000000.0,125698000000.0,140192000000.0,156487000000.0,179495000000.0,209367000000.0,235876000000.0,272612000000.0,306807000000.0,348615000000.0,398210000000.0,451770000000.0,509985000000.0,585989000000.0,650512000000.0,707030000000.0,757689000000.0,814596000000.0,855983000000.0,925215000000.0,997121000000.0,1053546000000.0,1091705000000.0,1130983000000.0,1142119000000.0,1179867000000.0,1218273000000.0,1252266000000.0,1292777000000.0,1351896000000.0,1400999000000.0,1478585000000.0,1538200000000.0,1587829000000.0,1630666000000.0,1704019000000.0,1765905000000.0,1848151000000.0,1941360000000.0,1992380000000.0,1936422000000.0,1995289000000.0,2058369000000.0,2088804000000.0,2117189000000.0,2149765000000.0,2198432000000.0,2234129000000.0,2297242000000.0,2363306000000.0,2437635000000.0,2310469000000.0,2500870000000.0,2642713000000.0
GBR,26155000000.0,27765000000.0,29017000000.0,30915000000.0,33717000000.0,36366000000.0,38776000000.0,40960000000.0,44900000000.0,48527000000.0,54451000000.0,60860000000.0,68054000000.0,78594000000.0,88183000000.0,109274000000.0,129450000000.0,150816000000.0,175163000000.0,207293000000.0,243097000000.0,269085000000.0,294814000000.0,323001000000.0,346946000000.0,381251000000.0,410311000000.0,455965000000.0,511671000000.0,566512000000.0,615673000000.0,647966000000.0,672170000000.0,707734000000.0,745196000000.0,853077000000.0,911258000000.0,953952000000.0,999326000000.0,1044150000000.0,1101143000000.0,1145323000000.0,1191515000000.0,1259675000000.0,1323420000000.0,1399643000000.0,1472837000000.0,1545792000000.0,1594737000000.0,1551882000000.0,1612381000000.0,1664211000000.0,1713241000000.0,1782296000000.0,1862827000000.0,1920998000000.0,1999461000000.0,2085008000000.0,2157410000000.0,2238348000000.0,2109594000000.0,2270246000000.0,2491238000000.0
ITA,13014645760.0,14474595328.0,16263192576.0,18628194304.0,20392112128.0,21942366208.0,23774728192.0,26188599296.0,28386482176.0,31337662464.0,36604008000.0,39945026000.0,43752324000.0,52840658000.0,67033712000.0,76779041000.0,96605958000.0,117386640000.0,138090063000.0,168926870000.0,211090672000.0,252865644000.0,298449943000.0,347522438000.0,397339289000.0,445931669000.0,493033453000.0,539344368000.0,599339541000.0,658049420000.0,730940578000.0,798453254000.0,840282887000.0,865491428000.0,915427658000.0,988243200000.0,1045872700000.0,1092357300000.0,1138856100000.0,1175149500000.0,1241512900000.0,1304136800000.0,1350258900000.0,1394693200000.0,1452319000000.0,1493635300000.0,1552686800000.0,1614839800000.0,1637699400000.0,1577255900000.0,1611279400000.0,1648755800000.0,1624358700000.0,1612751300000.0,1627405600000.0,1655355000000.0,1695786800000.0,1736592800000.0,1771391200000.0,1796648500000.0,1661019900000.0,1787675400000.0,1909153600000.0
JPN,15950643462144.0,19263102386176.0,21860286726144.0,25019327447040.0,29429642297344.0,32742100172800.0,38026105323520.0,44561476878336.0,52776386166784.0,61993511813120.0,76539307651000.0,84215883491000.0,96418343539000.0,117397596102000.0,140090360740000.0,154787118330000.0,173827764691000.0,193706278803000.0,213306268936000.0,231195355873000.0,250636100000000.0,268830700000000.0,282582000000000.0,295303900000000.0,313145300000000.0,333686000000000.0,350344800000000.0,366339100000000.0,393641400000000.0,421469400000000.0,453608500000000.0,482845400000000.0,495055800000000.0,495291000000000.0,510916100000000.0,521613500000000.0,535562100000000.0,543545400000000.0,536497400000000.0,528069900000000.0,535417700000000.0,531653900000000.0,524478700000000.0,523968600000000.0,529400900000000.0,532515600000000.0,535170200000000.0,539281700000000.0,527823800000000.0,494938400000000.0,505530600000000.0,497448900000000.0,500474700000000.0,508700600000000.0,518811000000000.0,538032300000000.0,544364600000000.0,553073000000000.0,556630100000000.0,557910800000000.0,539082400000000.0,549379300000000.0,556387200000000.0
USA,543300000000.0,563300000000.0,605100000000.0,638600000000.0,685800000000.0,743700000000.0,815000000000.0,861700000000.0,942500000000.0,1019900000000.0,1073303000000.0,1164850000000.0,1279110000000.0,1425376000000.0,1545243000000.0,1684904000000.0,1873412000000.0,2081826000000.0,2351599000000.0,2627333000000.0,2857307000000.0,3207041000000.0,3343789000000.0,3634038000000.0,4037613000000.0,4338979000000.0,4579631000000.0,4855215000000.0,5236438000000.0,5641580000000.0,5963144000000.0,6158129000000.0,6520327000000.0,6858559000000.0,7287236000000.0,7639749000000.0,8073122000000.0,8577554457000.0,9062818202000.0,9631174489000.0,10250947997000.0,10581929774000.0,10929112955000.0,11456442041000.0,12217193198000.0,13039199193000.0,13815586948000.0,14474226905000.0,14769857911000.0,14478064934000.0,15048964444000.0,15599728123000.0,16253972230000.0,16843190993000.0,17550680174000.0,18206020741000.0,18695110842000.0,19477336549000.0,20533057312000.0,21380976119000.0,21060473613000.0,23315080560000.0,25462700000000.0
