country,life_expectancy,fertility_rate,GDP,GDP_per_capita,GDP_PPP,GNI,GNI_per_capita,GNI_PPP,political_stability,interest_rates,income_tax,education_pct_government_expenditure,government_effectiveness,labour_participation,migration,rural_living_pct_popoluation,health_pct_government_expenditure,government_expenditure_pct_GDP,R&D_expenditure_pct_GDP,current_account_pct_GDP,inflation,forest_area,global_carbon_budget,environmental_occupational_risks,greenhouse_gas_emissions,renewable_electricity_capacity,trade_transport_quality,literacy_rate,alcohol_use_disorders,income_inequality,wealth_inequality,child_mortality,body_mass_index,hours_to_file_taxes,drug_use,mental_health,pedestrian_road_injuries,pollution,bullying_victimisation,forest_depletion_pct_GNI,unsafe_water,unemployment
United Kingdom,0.0014374755846529698,0.002413779468968423,-0.001291971864106836,-0.008290309644418218,0.001714446648143969,-0.0016193294298135204,-0.006082475567440354,0.0012971451699119287,-0.002718449681817615,-0.011137381369369093,0.0006311326316762343,0.009523631313276137,-0.004371714199981014,0.0025928025560188746,0.001505593646775427,-3.108047093470527e-05,0.00422455009690801,0.0008946599921724843,-0.00022065609101401098,-0.0019853454326583674,0.0036629593989555534,0.000847907904395691,-0.005789857386881034,-0.0007810025590876999,-0.00273734135748838,0.0031613080273830054,-0.0022532954858124946,0.0006228904526262894,0.006386459695210904,-0.004214373582014795,0.0037892868905937188,0.000885450687451661,-0.006178818936982088,0.004082304488589199,-0.011783455150748289,0.002308565535748529,-0.0012876903155546343,-0.007978596815792988,-0.0015973992877650986,1.8396381668575998e-07,0.0009954315266346317,0.0013597615791730753
United States,-0.0015976297252795443,-0.0010149024441975395,0.0,-0.003801052684065415,0.0,0.0,-3.1816993141770315e-05,0.0,0.0009568065150406305,-0.0031125043336702996,-0.0009738906349797335,-0.008512828012694897,-0.002499848745861436,-0.004407243443592389,0.0,0.0009475576971486186,0.00817214496554664,-0.002902704722420437,0.0022329685173768624,0.005959119756734796,0.0017347491668315296,0.001090136161529638,-0.003004012766055407,-0.00030000626618220845,0.00046322931711731364,-0.0006061892009073166,-0.005742714378568389,-0.001585423725877597,0.00041626991332190436,0.0035323792946724357,0.010104061431754763,0.0015966104223902183,0.0005112316733671152,0.001928861110659083,0.0,-0.00958270688052926,0.0019334584826263318,-0.011999213143597268,0.0002379660963983919,-9.118940279398776e-05,0.0009910741348721451,0.0013398993337172542
France,0.0020884250379659855,0.0022170500266977954,-0.00016896994080743574,-0.003525764501530849,0.001763854246971048,-0.0002840588002670222,-4.427768766629473e-05,0.0015743602883432955,-0.006982388936007663,NaN,0.0006111373641451169,-0.0007134349354122302,-0.004319244662150116,0.00036238229183286415,-0.004067321883016122,0.00018438451288447418,0.00012427239366108225,0.002481183709946081,-0.0006436516381673884,-0.0013078279178624097,0.002101815997642008,0.0024293489290252257,-0.0019355921324030333,-9.557101071324352e-05,0.0013184174608294992,-0.0005974893964597728,-0.0013601424917254904,0.0032081611212829496,-0.0035353086115307345,-0.006662198666680249,0.002139674916951021,0.001009610817025526,-0.0034870600715836554,0.004513428992265824,-0.008607795393722115,-0.0031185190731638085,-0.005133613436274991,-0.005296870137238248,-0.004396037069060362,-0.0001529791156028783,0.0009991971612688117,0.004542140335131972
Japan,0.0018255507933722136,0.0014431458236170145,-0.008284517120916423,-0.013582884370687883,-0.001963523594060181,-0.008240189614657807,-0.011889738583064269,-0.0019830298917413347,-0.0009430491575793522,-0.005919981442566358,NaN,-0.0005218543750271403,0.00809958670087394,-0.0006049861385487519,0.0027103775174615553,-0.0041233164555371455,0.014975507161044814,0.0038462516749836833,-0.0002315922792844681,0.0013711836056571826,0.005433556220783598,0.0013084907843796882,0.00181257230551368,0.0006062322981321628,0.006265205844554515,0.0010340375217246028,-0.0035936750765230533,NaN,-0.0008422707420481843,-0.004131715616123742,-0.00038582806540964266,0.0006215638834180916,-0.0029386424287189475,-0.016490938422741446,-0.009831442180611591,-0.007204018004748909,-0.00106853006340392,0.0020123506152723274,-0.0006759747300531111,-9.118940279398776e-05,0.0010314905440054363,-0.0043039358454822745
Germany,0.00048081638153082534,0.0032368726856419417,-0.00015759907224177907,-0.0006777000124930249,0.002067680977187706,-1.4730947782779736e-06,0.003793888264001022,0.002182794784736279,-0.0056795574230371175,NaN,0.0007166601639827524,0.008554814235655671,7.286096943340314e-05,0.006891313083657263,0.013987494295405986,0.0015055041847839132,-0.0018640732989076416,0.0014212569446996396,0.006857421610535064,0.012183332773338967,0.00303052744255922,0.0007200603199262319,-0.00024966944804264264,0.0007803614526684951,0.0025297610338223656,0.006280866106457505,0.0,-0.0009613930035031672,-0.003111454271723276,0.008335279853391445,-0.00042905984418641806,0.0008656242672194798,-0.003753807470647956,0.006938719783305503,-0.010292505105113602,0.006934135188992916,-0.0011311433452704074,-0.005821551456365071,-0.0030920419625477657,-9.118940279398776e-05,0.001012988356653689,-0.013871268126579791
Canada,0.001021862922533775,0.0012917081533471363,0.0012464253515615696,0.000350812911897669,0.002006349773535556,0.0011326862807133687,0.005843422549038065,0.0018382989348709026,0.0011346340255609484,-0.0031624011835214654,0.0006766016973570577,-0.0008839382353478618,-0.002093373120263067,-0.0006871235148229422,0.005805470378753319,0.0016898443143278823,0.0009528774773356105,0.002403300514187188,-0.006939030798698158,-0.006932667506193176,0.0026054992271706007,0.0006890850194419682,-0.001497073536043902,-0.0007683954279746113,-0.00419084945717483,-0.006790979367381991,-0.008213858460504654,0.00016070045742282746,0.00017239779220360816,-0.0006748386274491737,-0.0006073992999112213,0.0013860703883783394,-0.002708577004616613,0.00485812561595979,-0.0052662560229797045,0.0053763526066359785,-0.00011539780640577361,-0.005841183732434576,0.00741018400532241,-9.118940279398776e-05,0.0010003637718328838,7.353585230465295e-05
Italy,0.002076160480764864,0.0010264505506797866,-0.0008659075973560321,-0.005520702643730263,0.0007582412872340049,-0.0009531327518719787,-0.0026998094974483994,0.0005895184567544214,-0.004101610560228915,-0.002118806051432497,0.0005941099470477759,-0.002450066044971097,-0.0023697657464714704,0.0017374108955974302,-0.007015516675044941,0.0010749815102344248,-0.0032249743376851006,2.254244259462013e-05,0.004779800954575878,0.006151136635697168,0.00117324532787126,0.002664136363426972,-0.002878879062846953,0.00012835100712621365,0.0006611417923012051,0.0012661058245797669,0.0026469982764732135,-0.004172373570570179,-0.003375799410109519,0.00046770829036364714,0.01525120689467755,0.0006603211704625733,-0.00428829223147459,-0.004449313526940238,-0.01905608011075769,0.004311903344181136,-0.0037541758403094733,-0.01117439804626047,-0.0035533879694886654,-8.350723888504176e-05,0.0010039478239379186,0.009918888518472656
