country,year,life_expectancy,pollution,income_inequality,wealth_inequality,GDP,GDP_per_capita,GDP_PPP,global_carbon_budget,greenhouse_gas_emissions,child_mortality,renewable_electricity_capacity
Canada,2000,0.7921673300435594,0.2552519417120121,0.4517644538118683,0.3270325505305136,0.07265410146940061,0.6196425457900661,0.08789401595488983,0.8550814441483452,0.9949740246526965,0.039148543502021654,0.422577473744257
Canada,2001,0.7916942037484113,0.25213381882058655,0.4072580257630566,0.3226715907174864,0.06983251116069304,0.641506095808838,0.08862152709433857,0.8342206700498438,1.0,0.04101429153636461,0.40959145921868034
Canada,2002,0.7898139069953367,0.24893188048351395,0.3809531524524141,0.3211181847041168,0.0695984511487744,0.6383360177175365,0.08884561741023117,0.8519822027534506,1.0,0.04239019534936187,0.4155463431707028
Canada,2003,0.7874481055756606,0.24946020307149533,0.3920943043090191,0.3193355633186847,0.07816917708219102,0.6752579336012281,0.08935431430974758,0.8187510622416709,1.0,0.04309438301771132,0.41013593643074786
Canada,2004,0.7884171807820295,0.2506413302355412,0.41727662794657383,0.32617604360062075,0.0840365067195895,0.6735524973035214,0.08869543738850187,0.8122360165373768,1.0,0.044643719622157886,0.3989483283976968
Canada,2005,0.7868015492256265,0.2446419717105891,0.41384411923618153,0.3310762001196789,0.08996784092449901,0.7163448559830012,0.08983114457971836,0.8339019963335876,1.0,0.04617760120067425,0.38998241423314184
Canada,2006,0.7925658310875043,0.23975142472421124,0.4261553485813032,0.32818247863991507,0.09549104316425384,0.7115535982688028,0.08986907647520023,0.7909745613966394,1.0,0.046401021811321955,0.3810430607143118
Canada,2007,0.789312307235679,0.22620565947466,0.42666282441887343,0.3247393819177587,0.10147833230912445,0.68013619382794,0.08992489617863773,0.8311272969580614,1.0,0.04811526142460251,0.369745360821521
Canada,2008,0.7887299632123557,0.2106147394549412,0.4223137803441718,0.32791870080618035,0.10514587886218223,0.6655414178725503,0.09088752561665926,0.8175470729307016,1.0,0.04903423649966083,0.35607234041710323
Canada,2009,0.7965546712378815,0.19348307541043736,0.39561770164393484,0.316772684502201,0.09494536379161746,0.6643530937374159,0.09027455770226206,0.9139426045996194,1.0,0.05008426484108451,0.3408200389444265
Canada,2010,0.7965749604592698,0.17584032788793552,0.4094171515169441,0.3188603262926714,0.10747207048728807,0.7517436068840344,0.09060937657321506,0.9332651774083486,1.0,0.05080549470852168,0.32251052356003357
Canada,2011,0.7994413263574149,0.1659087817550239,0.42741198617780796,0.31464792784384327,0.11495883877171338,0.7537884309962055,0.09171997925829749,0.8777249628316359,1.0,0.05171846680155942,0.30594168634688584
Canada,2012,0.8041819840043245,0.15894730868208415,0.4120432410272078,0.315814632310402,0.11248736343642689,0.7780902193579395,0.09032241110495548,0.818972250228587,1.0,0.05393966336626718,0.2881671049849647
Canada,2013,0.805069209174174,0.15225811158954813,0.437214943161109,0.3113549415552109,0.1096346543005077,0.7359104676626601,0.09227022365571295,0.8208274265634345,1.0,0.05684304041951375,0.27339821775246903
Canada,2014,0.8027144678254299,0.1477172129205755,0.43711686362242924,0.31513599787191593,0.10288774341150728,0.6976075314782112,0.09238363101698442,0.839029953633334,1.0,0.05664760633974194,0.25912028237898704
Canada,2015,0.8042462198776934,0.14184252129176939,0.43171719670082026,0.31991251497392076,0.0854941801044903,0.6631723385282322,0.08760023942134923,0.8107440037567413,1.0,0.05767678917238367,0.2538447227458273
Canada,2016,0.8034384547480846,0.14349769468445486,0.39152064847321355,0.30597377204638737,0.0817323178675503,0.634072035605381,0.08976102790990556,0.7859411572054827,0.8556017651394429,0.058702796311870656,0.23804211332434375
Canada,2017,0.801900174385366,0.14429992537834255,0.453095657104202,0.31714633185462265,0.08467613834648076,0.6518250413643728,0.09065729000295097,0.8076333853419103,0.8725451878966718,0.06000819598687273,0.22132692892397743
Canada,2018,0.8013893015327599,0.14561369952504716,0.36480503815920956,0.3216640535442254,0.08402537976784663,0.6319393025742297,0.0902440345335491,0.7955957143730176,0.8977073604883632,0.06141693146466803,0.20706539247674885
Canada,2019,0.8076268230955083,0.1417176177998659,,0.31940465380396693,0.08155498485978735,0.6355633843170718,0.08763677231609605,0.7926052051510966,0.8891825660320509,0.06293545643822582,0.1935109468632018
Canada,2020,82.0,,,0.7345486879348755,,,,12.950360298156738,,,100889.6171875
Canada,2021,82.69999694824219,,,0.7365697026252747,,,,,,,103189.9140625
Canada,2022,82.80000305175781,,,,,,,,,,105775.0703125
Canada,2023,83.0,,,,,,,,,,
